Event,nsta,MW,depth,ev_lla,ev_lon,Networks,Stations
2010.010.00.27,17,6.5,20.6,40.6654,-124.4669,"['YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL'
 'YL' 'Z6' 'Z6']","['A02W', 'A10W', 'A12W', 'A14W', 'B04W', 'B07W', 'B09W', 'B14W', 'C01W', 'C05W', 'C08W', 'C09W', 'C17W', 'F02W', 'S01W', '11', '16']"
2010.012.21.53,18,7,15,18.3823,-72.588,"['YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL'
 'YL' 'YL' 'Z6' 'Z6']","['A02W', 'A10W', 'A12W', 'A14W', 'B04W', 'B07W', 'B09W', 'B14W', 'C01W', 'C05W', 'C08W', 'C09W', 'C17W', 'F02W', 'S01W', 'S02W', '11', '16']"
2010.038.06.10,15,6.3,23,23.4364,123.6909,"['YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL'
 'YL']","['A02W', 'A10W', 'A12W', 'A14W', 'B04W', 'B09W', 'B14W', 'C01W', 'C05W', 'C08W', 'C09W', 'C17W', 'F02W', 'S01W', 'S02W']"
2010.049.01.13,10,6.9,573.7,42.6027,130.6993,['YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL'],"['A10W', 'A12W', 'B04W', 'B07W', 'B09W', 'C01W', 'C05W', 'C08W', 'C17W', 'S02W']"
2010.057.20.31,16,7,24.2,25.9843,128.5078,"['YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL'
 'YL' 'YL']","['A02W', 'A10W', 'A12W', 'A14W', 'B04W', 'B07W', 'B09W', 'B14W', 'C01W', 'C05W', 'C08W', 'C09W', 'C17W', 'F02W', 'S01W', 'S02W']"
2010.058.08.01,15,7.4,35,-37.84,-75.2105,"['YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL'
 'YL']","['A02W', 'A12W', 'A14W', 'B04W', 'B07W', 'B09W', 'B14W', 'C01W', 'C05W', 'C08W', 'C09W', 'C17W', 'F02W', 'S01W', 'S02W']"
2010.058.15.45,15,6.3,31.8,-24.7957,-65.4619,"['YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL'
 'YL']","['A02W', 'A10W', 'A12W', 'A14W', 'B04W', 'B09W', 'B14W', 'C01W', 'C05W', 'C08W', 'C09W', 'C17W', 'F02W', 'S01W', 'S02W']"
2010.063.00.18,22,6.3,27,22.9301,120.8,"['YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL'
 'Z6' 'Z6' 'ZN' 'ZN' 'ZN' 'ZN' 'ZN' 'ZN']","['A02W', 'A10W', 'A12W', 'A14W', 'B04W', 'B09W', 'B14W', 'C01W', 'C05W', 'C09W', 'C17W', 'F02W', 'S01W', 'S02W', '11', '16', 'B', 'D', 'F', 'G', 'H', 'J']"
2010.070.14.39,16,6.9,19.3,-34.3522,-71.9557,"['YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL'
 'YL' 'YL']","['A02W', 'A10W', 'A12W', 'A14W', 'B04W', 'B07W', 'B09W', 'B14W', 'C01W', 'C05W', 'C08W', 'C09W', 'C17W', 'F02W', 'S01W', 'S02W']"
2010.070.14.55,16,7,24.4,-34.2937,-71.802,"['YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL'
 'YL' 'YL']","['A02W', 'A10W', 'A12W', 'A14W', 'B04W', 'B07W', 'B09W', 'B14W', 'C01W', 'C05W', 'C08W', 'C09W', 'C17W', 'F02W', 'S01W', 'S02W']"
2010.073.00.57,17,6.5,63.6,-1.6485,128.0818,"['YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL'
 'YL' 'Z6' 'Z6']","['A02W', 'A10W', 'A12W', 'A14W', 'B07W', 'B09W', 'B14W', 'C01W', 'C05W', 'C08W', 'C09W', 'C17W', 'F02W', 'S01W', 'S02W', '11', '16']"
2010.073.08.08,21,6.5,40.1,37.7839,141.6548,"['YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL'
 'YL' 'ZN' 'ZN' 'ZN' 'ZN' 'ZN' 'ZN']","['A02W', 'A10W', 'A12W', 'A14W', 'B04W', 'B07W', 'B09W', 'B14W', 'C01W', 'C05W', 'C09W', 'C17W', 'F02W', 'S01W', 'S02W', 'B', 'D', 'F', 'G', 'H', 'J']"
2010.144.16.18,15,6.5,582.1,-8.1152,-71.6412,"['YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL' 'YL'
 'YL']","['A02W', 'A10W', 'A12W', 'B04W', 'B07W', 'B09W', 'B14W', 'C01W', 'C05W', 'C08W', 'C09W', 'C17W', 'F02W', 'S01W', 'S02W']"
